Пользователь	Югин Дмитрий
Компьютер	Progr10
Дата и время	25.09.2017 11:11:59
	
Параметры:	Период запроса: 01.01.2017 - 31.12.2017
	
День	ID Интернет заказа	Код товара	Количество отгрузок	Сумма отгрузок	Количество возвратов	Сумма возвратов
14.03.2017	248 058	66 925	1	21 610		
20.03.2017	248 058	66 925			1	21 610
09.02.2017	2 728 455	96 960			1	36 750
08.02.2017	2 728 455	96 960	1	36 750		
24.03.2017	4 080 690	103 967	1	2 290		
06.03.2017	4 935 239	103 967	1	2 215		
18.05.2017	1 707 179	118 224	1	11 020		
18.05.2017	1 707 179	118 224			1	11 580
18.05.2017	1 707 179	118 224			1	11 020
18.05.2017	1 707 179	118 224	1	11 580		
20.02.2017	3 414 498	118 349	1	4 270		
20.01.2017	5 986 736	132 647	1	700		
16.03.2017	815 914	132 647	1	700		
16.03.2017	4 456 434	124 302	1	3 460		
22.03.2017	3 157 041	131 460	1	1 575		
23.01.2017	1 295 757	131 460	1	1 575		
07.06.2017	416 579	131 471	1	3 675		
30.01.2017	5 111 288	131 471	1	2 315		
08.06.2017	5 178 669	131 471	1	3 675		
06.04.2017	2 059 398	131 471	1	2 715		
16.02.2017	796 854	131 471	1	2 445		
28.02.2017	3 961 775	131 488	1	1 665		
07.06.2017	1 700 445	131 488	1	1 995		
28.04.2017	3 468 034	131 490	1	1 680		
16.08.2017	5 771 870	131 552			1	3 180
14.02.2017	459 595	131 552	1	2 600		
15.08.2017	5 771 870	131 552	1	3 180		
11.09.2017	2 798 481	131 580			1	15 020
11.09.2017	2 798 481	131 580	1	15 020		
06.03.2017	2 228 404	131 580			1	14 225
02.03.2017	2 228 404	131 580	1	14 225		
16.02.2017	4 362 723	131 620	1	790		
12.01.2017	998 258	131 625	2	2 030		
24.05.2017	4 612 758	138 611	1	1 735		
14.03.2017	5 888 675	29 596	1	16 665		
20.03.2017	5 888 675	29 596			1	16 665
17.07.2017	3 804 493	111 754	1	4 585		
21.07.2017	2 536 366	111 754	1	4 585		
07.04.2017	1 313 011	111 754			1	4 585
24.07.2017	2 536 366	111 754			1	4 585
13.03.2017	4 773 153	111 754	1	4 495		
07.04.2017	1 313 011	111 754	1	4 585		
08.02.2017	5 645 389	111 754	1	4 495		
01.02.2017	4 051 993	118 606	1	15 840		
10.03.2017	4 051 993	118 606			1	15 840
31.03.2017	456 247	132 789	1	1 840		
21.04.2017	3 056 712	132 822			1	3 360
20.04.2017	3 056 712	132 822	1	3 360		
26.07.2017	4 654 622	139 854	1	3 775		
16.08.2017	293 349	139 854	1	3 735		
20.09.2017	5 502 797	139 971	1	11 275		
25.08.2017	612 181	139 971	1	13 890		
15.08.2017	3 523 567	96 290	1	26 225		
25.08.2017	3 992 254	96 391	1	25 800		
29.06.2017	160 500	117 551	1	16 160		
30.06.2017	160 500	117 551			1	16 160
14.03.2017	1 044 566	117 561	1	9 220		
17.03.2017	4 543 793	124 669	1	6 300		
25.07.2017	5 258 623	124 496	1	19 230		
25.07.2017	5 258 623	124 558	1	8 775		
20.02.2017	4 015 330	124 578	1	8 590		
11.01.2017	4 932 539	131 410	1	6 635		
12.01.2017	4 932 539	131 410			1	6 635
11.08.2017	4 939 656	131 431	1	700		
11.08.2017	4 939 656	131 431	1	690		
11.08.2017	4 939 656	131 431			1	700
11.08.2017	4 939 656	131 431			1	690
17.03.2017	5 790 803	131 480	1	4 550		
28.07.2017	4 601 594	131 482	1	4 045		
02.08.2017	4 601 594	131 482			1	4 045
23.05.2017	4 282 082	131 483	1	5 040		
26.04.2017	1 863 369	131 483	1	5 040		
27.06.2017	4 243 073	131 483	1	4 620		
19.01.2017	2 611 126	131 483	1	4 200		
20.01.2017	3 563 776	131 502	1	14 850		
19.01.2017	3 563 776	131 502			1	15 055
08.03.2017	3 822 065	131 502			1	16 955
07.03.2017	3 822 065	131 502	1	16 955		
18.01.2017	3 563 776	131 502	1	14 610		
18.01.2017	3 563 776	131 502	1	15 055		
23.01.2017	3 563 776	131 502			1	14 610
31.03.2017	3 407 130	131 555	1	1 925		
21.02.2017	2 154 217	131 556	1	1 925		
02.02.2017	3 769 216	131 556	1	1 925		
07.04.2017	743 304	131 556	1	1 925		
13.01.2017	4 278 172	131 556	1	1 925		
07.09.2017	2 922 146	131 567	1	11 360		
30.08.2017	3 511 236	131 579	1	3 170		
21.08.2017	4 508 536	138 490			1	4 080
18.08.2017	4 508 536	138 490	1	4 080		
28.07.2017	5 478 214	138 727	1	3 230		
18.09.2017	2 263 338	138 745	1	3 075		
19.09.2017	2 263 338	138 745			1	3 075
14.03.2017	3 350 225	27 608			1	8 580
10.03.2017	3 350 225	27 608	1	8 580		
01.08.2017	1 543 167	73 484	1	6 885		
18.01.2017	171 405	73 484	1	7 225		
14.03.2017	3 350 225	73 484			1	6 070
14.03.2017	2 594 284	73 484			1	6 305
13.03.2017	2 594 284	73 484	1	6 305		
10.03.2017	3 350 225	73 484	1	6 070		
09.03.2017	4 493 525	73 484	1	7 255		
03.02.2017	5 582 170	73 484	1	6 740		
20.03.2017	4 506 700	117 506	1	2 295		
05.05.2017	4 951 284	117 506	1	2 755		
10.03.2017	4 848 015	117 570	1	6 490		
07.09.2017	1 738 352	117 570			1	6 590
06.09.2017	1 738 352	117 570	1	6 590		
11.09.2017	3 433 196	117 570	1	6 590		
31.08.2017	5 414 200	117 570	1	6 835		
19.01.2017	4 629 020	124 670	1	3 500		
14.03.2017	285 092	124 670	1	3 500		
