
Параметры:	Период:  - 31.07.2017
Отбор:	"Заказ.Дата Больше или равно ""01.04.2016 0:00:00"" И
Заказ.Дата Меньше ""27.08.2017 0:00:00"" И
Направление В списке ""Автосервис; АТП; Дуговая сварка.; ЗЧ и РМ; Комплексные поставки; Компрессорное; Металлообработка; Насосное; НГО; Подготовка поверхности;..."""
	
Направление	Организация	Заказ.Дата.Конец дня	Канал сбыта	Сумма Руб.	Сумма оплаты Руб.	Количество заказов	Количество заказов с оплатой
ЗЧ и РМ	PУТЕКТОР	01.04.2016 23:59:59	Дилер	304 806,24	287 325,53	11	9
Компрессорное	PУТЕКТОР	01.04.2016 23:59:59	Дилер	1 006 964,61	940 695,90	5	4
Насосное	PУТЕКТОР	01.04.2016 23:59:59	Дилер	836 494,14	492 122,09	14	8
Подготовка поверхности	PУТЕКТОР	01.04.2016 23:59:59	Дилер	34 491,24	34 491,24	1	1
Сварочное	PУТЕКТОР	01.04.2016 23:59:59	Дилер	210 368,88	22 019,81	3	2
Химическое	PУТЕКТОР	01.04.2016 23:59:59	Дилер	72 260,07		2	
Химическое	Рутектор	01.04.2016 23:59:59	Дилер	209 223,44	209 223,44	1	1
Строительное	Рутектор	01.04.2016 23:59:59	КПК	101 436,34	101 436,34	1	1
Дуговая сварка.	PУТЕКТОР	01.04.2016 23:59:59	Розница	222 618,56	1 500,72	2	1
ЗЧ и РМ	PУТЕКТОР	01.04.2016 23:59:59	Розница	426 866,52	272 483,96	23	16
ЗЧ и РМ	Рутектор	01.04.2016 23:59:59	Розница	67 232,86		1	
Компрессорное	PУТЕКТОР	01.04.2016 23:59:59	Розница	424 274,90	104 277,78	4	2
Металлообработка	PУТЕКТОР	01.04.2016 23:59:59	Розница	4 497 322,40	4 431 198,58	2	2
Насосное	PУТЕКТОР	01.04.2016 23:59:59	Розница	836 170,70	464 216,77	6	6
Насосное	Рутектор	01.04.2016 23:59:59	Розница	30 999,78	30 999,78	1	1
Подготовка поверхности	PУТЕКТОР	01.04.2016 23:59:59	Розница	39 945,77		2	
Сварочное	PУТЕКТОР	01.04.2016 23:59:59	Розница	22 442,15	17 427,15	2	1
Строительное	PУТЕКТОР	01.04.2016 23:59:59	Розница	87 128,84	87 128,84	3	3
Химическое	PУТЕКТОР	01.04.2016 23:59:59	Розница	40 572,59	39 211,64	1	1
ЗЧ и РМ	PУТЕКТОР	04.04.2016 23:59:59	Дилер	475 264,57	291 415,61	14	11
ЗЧ и РМ	Рутектор	04.04.2016 23:59:59	Дилер	3 607,34	3 694,77	1	1
Компрессорное	PУТЕКТОР	04.04.2016 23:59:59	Дилер	545 694,61	238 085,25	8	4
Насосное	PУТЕКТОР	04.04.2016 23:59:59	Дилер	1 051 909,29	1 051 909,29	6	6
Насосное	Рутектор	04.04.2016 23:59:59	Дилер	63 940,02	65 490,41	1	1
Сварочное	PУТЕКТОР	04.04.2016 23:59:59	Дилер	518 844,01	3 806,67	2	1
Сварочное	Рутектор	04.04.2016 23:59:59	Дилер	23 705,03	23 795,35	2	2
Строительное	PУТЕКТОР	04.04.2016 23:59:59	Дилер	2 396,58	2 396,58	1	1
Химическое	PУТЕКТОР	04.04.2016 23:59:59	Дилер	298 657,95	242 060,68	3	2
Дуговая сварка.	PУТЕКТОР	04.04.2016 23:59:59	Розница	502 916,92	184 913,96	5	4
ЗЧ и РМ	PУТЕКТОР	04.04.2016 23:59:59	Розница	328 439,20	137 538,80	16	12
ЗЧ и РМ	Рутектор	04.04.2016 23:59:59	Розница	169 796,10	169 796,10	1	1
Компрессорное	PУТЕКТОР	04.04.2016 23:59:59	Розница	256 203,46	23 426,54	5	3
Насосное	PУТЕКТОР	04.04.2016 23:59:59	Розница	1 125 325,77	1 019 466,79	5	4
Подготовка поверхности	PУТЕКТОР	04.04.2016 23:59:59	Розница	667 216,91	667 216,91	7	7
Сварочное	PУТЕКТОР	04.04.2016 23:59:59	Розница	525 500,62	71 466,99	5	4
Химическое	PУТЕКТОР	04.04.2016 23:59:59	Розница	66 079,57	66 079,57	2	2
ЗЧ и РМ	PУТЕКТОР	05.04.2016 23:59:59	Дилер	139 453,19	73 113,88	10	5
ЗЧ и РМ	Рутектор	05.04.2016 23:59:59	Дилер	4 519,57		1	
Компрессорное	PУТЕКТОР	05.04.2016 23:59:59	Дилер	112 785,49	110 955,63	3	3
Насосное	PУТЕКТОР	05.04.2016 23:59:59	Дилер	1 305 694,46	1 098 270,44	7	6
Насосное	Рутектор	05.04.2016 23:59:59	Дилер	70 651,55	70 652,25	2	2
Подготовка поверхности	PУТЕКТОР	05.04.2016 23:59:59	Дилер	18 762,00		1	
Сварочное	PУТЕКТОР	05.04.2016 23:59:59	Дилер	140 014,42	65 868,37	3	2
Химическое	PУТЕКТОР	05.04.2016 23:59:59	Дилер	255 032,86	238 430,24	2	2
Дуговая сварка.	Рутектор	05.04.2016 23:59:59	КПК	37 172,36	37 172,36	1	1
ЗЧ и РМ	Рутектор	05.04.2016 23:59:59	КПК	77 339,42	77 339,31	2	2
Насосное	Рутектор	05.04.2016 23:59:59	КПК	256 744,40	256 744,26	2	2
Сварочное	Рутектор	05.04.2016 23:59:59	КПК	2 464 654,88	2 360 251,58	1	1
Автосервис	PУТЕКТОР	05.04.2016 23:59:59	Розница	8 669,46	8 669,40	1	1
Дуговая сварка.	PУТЕКТОР	05.04.2016 23:59:59	Розница	226 051,42		1	
ЗЧ и РМ	PУТЕКТОР	05.04.2016 23:59:59	Розница	340 133,63	153 356,44	17	9
Компрессорное	PУТЕКТОР	05.04.2016 23:59:59	Розница	374 473,00	324 173,08	10	9
Компрессорное	Рутектор	05.04.2016 23:59:59	Розница	13 798,92	13 798,92	1	1
Металлообработка	PУТЕКТОР	05.04.2016 23:59:59	Розница	3 382 974,42	3 288 088,49	2	2
Насосное	PУТЕКТОР	05.04.2016 23:59:59	Розница	923 733,50	180 599,00	5	3
Сварочное	PУТЕКТОР	05.04.2016 23:59:59	Розница	16 604,04	16 604,04	2	2
Строительное	PУТЕКТОР	05.04.2016 23:59:59	Розница	4 217,32	4 217,32	1	1
Химическое	PУТЕКТОР	05.04.2016 23:59:59	Розница	1 274 384,42	1 230 110,34	3	3
Дуговая сварка.	PУТЕКТОР	06.04.2016 23:59:59	Дилер	83 374,25	81 661,70	2	2
ЗЧ и РМ	PУТЕКТОР	06.04.2016 23:59:59	Дилер	134 278,14	133 621,03	14	14
Компрессорное	PУТЕКТОР	06.04.2016 23:59:59	Дилер	710 163,33	454 408,00	11	8
Компрессорное	Рутектор	06.04.2016 23:59:59	Дилер	4 987,99	4 757,20	1	1
Насосное	PУТЕКТОР	06.04.2016 23:59:59	Дилер	687 235,02	676 076,33	12	12
Подготовка поверхности	PУТЕКТОР	06.04.2016 23:59:59	Дилер	16 501,93	15 580,93	1	
Сварочное	PУТЕКТОР	06.04.2016 23:59:59	Дилер	649 639,36		2	
Сварочное	Рутектор	06.04.2016 23:59:59	КПК	143 993,04	143 993,04	1	1
Дуговая сварка.	PУТЕКТОР	06.04.2016 23:59:59	Розница	7 500,00	7 500,00	1	1
ЗЧ и РМ	PУТЕКТОР	06.04.2016 23:59:59	Розница	2 394 480,34	231 598,95	22	15
Компрессорное	PУТЕКТОР	06.04.2016 23:59:59	Розница	99 180,40	99 180,40	3	3
Насосное	PУТЕКТОР	06.04.2016 23:59:59	Розница	1 189 741,21	275 503,44	9	6
Подготовка поверхности	PУТЕКТОР	06.04.2016 23:59:59	Розница	20 705,46	20 705,46	1	1
Сварочное	PУТЕКТОР	06.04.2016 23:59:59	Розница	501 950,24	297 073,22	3	2
Строительное	PУТЕКТОР	06.04.2016 23:59:59	Розница	193 999,08	193 999,08	1	1
Химическое	PУТЕКТОР	06.04.2016 23:59:59	Розница	87 012,69		2	
Дуговая сварка.	PУТЕКТОР	07.04.2016 23:59:59	Дилер	7 781,30	7 668,88	1	1
ЗЧ и РМ	PУТЕКТОР	07.04.2016 23:59:59	Дилер	211 972,67	86 211,28	12	9
Компрессорное	PУТЕКТОР	07.04.2016 23:59:59	Дилер	850 660,27	422 513,73	10	3
Насосное	PУТЕКТОР	07.04.2016 23:59:59	Дилер	2 464 890,18	465 565,08	17	8
Подготовка поверхности	PУТЕКТОР	07.04.2016 23:59:59	Дилер	136 076,26		3	
Сварочное	PУТЕКТОР	07.04.2016 23:59:59	Дилер	840 058,25	302 418,59	6	2
Строительное	PУТЕКТОР	07.04.2016 23:59:59	Дилер	8 396,88		1	
Химическое	PУТЕКТОР	07.04.2016 23:59:59	Дилер	92 186,62	88 448,59	1	1
Дуговая сварка.	PУТЕКТОР	07.04.2016 23:59:59	Розница	207 257,88	35 281,14	3	2
ЗЧ и РМ	PУТЕКТОР	07.04.2016 23:59:59	Розница	249 822,35	117 184,46	15	8
ЗЧ и РМ	Рутектор	07.04.2016 23:59:59	Розница	143 096,00	143 096,00	3	3
Компрессорное	PУТЕКТОР	07.04.2016 23:59:59	Розница	1 814 447,69	1 104 913,59	8	5
Насосное	PУТЕКТОР	07.04.2016 23:59:59	Розница	1 007 125,38	1 006 114,21	10	10
Подготовка поверхности	PУТЕКТОР	07.04.2016 23:59:59	Розница	82 032,24	82 031,39	5	5
Сварочное	PУТЕКТОР	07.04.2016 23:59:59	Розница	2 699 373,28	65 243,38	9	4
Сварочное	Рутектор	07.04.2016 23:59:59	Розница	1 014 735,99	13 040,70	1	1
Строительное	PУТЕКТОР	07.04.2016 23:59:59	Розница	20 000,00	20 000,00	1	1
Химическое	PУТЕКТОР	07.04.2016 23:59:59	Розница	46 552,41	32 759,35	2	1
Химическое	Рутектор	07.04.2016 23:59:59	Розница	382 886,65	366 782,76	1	1
ЗЧ и РМ	PУТЕКТОР	08.04.2016 23:59:59	Дилер	176 453,54	61 725,06	8	6
Компрессорное	PУТЕКТОР	08.04.2016 23:59:59	Дилер	271 939,86	257 161,03	5	4
Насосное	PУТЕКТОР	08.04.2016 23:59:59	Дилер	908 387,08	891 203,02	10	10
Сварочное	PУТЕКТОР	08.04.2016 23:59:59	Дилер	118 805,96	8 510,57	3	1
Химическое	PУТЕКТОР	08.04.2016 23:59:59	Дилер	28 484,10	28 962,00	1	1
Насосное	Рутектор	08.04.2016 23:59:59	КПК	417 537,00	417 536,69	1	1
Дуговая сварка.	PУТЕКТОР	08.04.2016 23:59:59	Розница	238 302,18	140 757,48	3	2
ЗЧ и РМ	PУТЕКТОР	08.04.2016 23:59:59	Розница	221 467,38	208 613,49	15	12
Насосное	PУТЕКТОР	08.04.2016 23:59:59	Розница	663 874,66	628 434,74	6	5
Подготовка поверхности	PУТЕКТОР	08.04.2016 23:59:59	Розница	87 872,24	87 872,24	3	3
Сварочное	Рутектор	08.04.2016 23:59:59	Розница	3 214,32	3 214,32	1	1
Химическое	PУТЕКТОР	08.04.2016 23:59:59	Розница	87 640,96	87 640,96	2	2
Дуговая сварка.	PУТЕКТОР	11.04.2016 23:59:59	Дилер	21 840,49	21 212,72	2	2
ЗЧ и РМ	PУТЕКТОР	11.04.2016 23:59:59	Дилер	331 779,93	80 217,87	11	6
Компрессорное	PУТЕКТОР	11.04.2016 23:59:59	Дилер	166 499,18		1	
Насосное	PУТЕКТОР	11.04.2016 23:59:59	Дилер	418 988,92	284 075,02	9	6
Подготовка поверхности	PУТЕКТОР	11.04.2016 23:59:59	Дилер	703 998,62	47 998,86	3	1
Сварочное	PУТЕКТОР	11.04.2016 23:59:59	Дилер	528 186,44		7	
Химическое	PУТЕКТОР	11.04.2016 23:59:59	Дилер	359 527,83		3	
ЗЧ и РМ	Рутектор	11.04.2016 23:59:59	КПК	76 584,36	76 584,36	1	1
Автосервис	PУТЕКТОР	11.04.2016 23:59:59	Розница	11 665,66	11 679,00	1	1
Дуговая сварка.	PУТЕКТОР	11.04.2016 23:59:59	Розница	412 372,04	2 188,90	3	1
ЗЧ и РМ	PУТЕКТОР	11.04.2016 23:59:59	Розница	828 538,80	382 329,50	20	11
Компрессорное	PУТЕКТОР	11.04.2016 23:59:59	Розница	1 929 402,39	447 708,85	5	3
Насосное	PУТЕКТОР	11.04.2016 23:59:59	Розница	806 194,42	609 029,40	7	4
Подготовка поверхности	PУТЕКТОР	11.04.2016 23:59:59	Розница	68 714,94	68 714,94	5	5
Сварочное	PУТЕКТОР	11.04.2016 23:59:59	Розница	601 081,61	287 445,87	6	3
Сварочное	Рутектор	11.04.2016 23:59:59	Розница	9 982,80	9 982,80	1	1
Строительное	PУТЕКТОР	11.04.2016 23:59:59	Розница	26 168,86	26 168,86	2	2
Химическое	PУТЕКТОР	11.04.2016 23:59:59	Розница	434 294,85	290 108,05	6	2
Химическое	Рутектор	11.04.2016 23:59:59	Розница	16 831,66	16 323,14	1	1
ЗЧ и РМ	PУТЕКТОР	12.04.2016 23:59:59	Дилер	83 918,54	71 556,63	8	6
ЗЧ и РМ	Рутектор	12.04.2016 23:59:59	Дилер	30 402,70	-6 914,80	1	1
Компрессорное	PУТЕКТОР	12.04.2016 23:59:59	Дилер	351 656,74	307 607,45	6	4
Насосное	PУТЕКТОР	12.04.2016 23:59:59	Дилер	963 111,85	558 116,21	10	8
Подготовка поверхности	PУТЕКТОР	12.04.2016 23:59:59	Дилер	898 316,54	898 316,54	1	1
Сварочное	PУТЕКТОР	12.04.2016 23:59:59	Дилер	3 399 354,12	2 772 255,08	8	4
Дуговая сварка.	PУТЕКТОР	12.04.2016 23:59:59	Розница	56 676,58	56 676,58	1	1
ЗЧ и РМ	PУТЕКТОР	12.04.2016 23:59:59	Розница	316 427,17	241 045,40	18	15
ЗЧ и РМ	Рутектор	12.04.2016 23:59:59	Розница	193 634,46	193 634,47	4	4
Компрессорное	PУТЕКТОР	12.04.2016 23:59:59	Розница	289 973,28	289 973,28	7	7
Насосное	PУТЕКТОР	12.04.2016 23:59:59	Розница	773 242,28	678 084,72	4	2
Подготовка поверхности	PУТЕКТОР	12.04.2016 23:59:59	Розница	1 322 174,72	1 300 466,81	8	8
Сварочное	PУТЕКТОР	12.04.2016 23:59:59	Розница	262 587,54	156 387,94	5	4
Сварочное	Рутектор	12.04.2016 23:59:59	Розница	13 725,76	13 725,76	1	1
Строительное	PУТЕКТОР	12.04.2016 23:59:59	Розница	129 360,00	129 360,00	2	2
Дуговая сварка.	PУТЕКТОР	13.04.2016 23:59:59	Дилер	217 980,67	155 911,04	2	1
ЗЧ и РМ	PУТЕКТОР	13.04.2016 23:59:59	Дилер	50 914,64	49 218,98	5	4
ЗЧ и РМ	Рутектор	13.04.2016 23:59:59	Дилер	73 584,54	73 584,54	2	2
Компрессорное	PУТЕКТОР	13.04.2016 23:59:59	Дилер	1 797 714,08	513 871,86	14	5
Насосное	PУТЕКТОР	13.04.2016 23:59:59	Дилер	3 139 222,33	2 823 827,92	16	11
Подготовка поверхности	PУТЕКТОР	13.04.2016 23:59:59	Дилер	15 659,78	15 659,78	1	1
Сварочное	PУТЕКТОР	13.04.2016 23:59:59	Дилер	371 391,61	296 436,36	8	4
Химическое	Рутектор	13.04.2016 23:59:59	Дилер	236 296,95	119 987,76	1	1
Дуговая сварка.	PУТЕКТОР	13.04.2016 23:59:59	КПК	369 499,21	369 499,18	1	1
Автосервис	PУТЕКТОР	13.04.2016 23:59:59	Розница	44 696,04	44 696,04	1	1
Дуговая сварка.	PУТЕКТОР	13.04.2016 23:59:59	Розница	313 549,60	2 973,60	2	1
ЗЧ и РМ	PУТЕКТОР	13.04.2016 23:59:59	Розница	781 344,73	267 808,34	20	16
Компрессорное	PУТЕКТОР	13.04.2016 23:59:59	Розница	274 695,74	161 014,54	5	3
Насосное	PУТЕКТОР	13.04.2016 23:59:59	Розница	3 073 708,32	1 090 066,92	12	5
Подготовка поверхности	PУТЕКТОР	13.04.2016 23:59:59	Розница	248 797,10	248 797,10	1	1
Сварочное	PУТЕКТОР	13.04.2016 23:59:59	Розница	2 547 560,99	254 169,58	7	2
Химическое	PУТЕКТОР	13.04.2016 23:59:59	Розница	641 476,91	408 402,19	5	1
ЗЧ и РМ	PУТЕКТОР	14.04.2016 23:59:59	Дилер	31 539,72	31 557,38	7	7
Компрессорное	PУТЕКТОР	14.04.2016 23:59:59	Дилер	1 058 471,20	601 572,26	7	5
Насосное	PУТЕКТОР	14.04.2016 23:59:59	Дилер	857 685,12	774 566,64	9	8
Сварочное	PУТЕКТОР	14.04.2016 23:59:59	Дилер	4 999,66	4 999,66	1	1
Сварочное	PУТЕКТОР	14.04.2016 23:59:59	КПК	65 474,89	65 594,34	1	1
Дуговая сварка.	PУТЕКТОР	14.04.2016 23:59:59	Розница	164 580,50	164 580,50	1	1
ЗЧ и РМ	PУТЕКТОР	14.04.2016 23:59:59	Розница	365 886,49	271 481,84	19	14
ЗЧ и РМ	Рутектор	14.04.2016 23:59:59	Розница	67 758,02	67 758,02	3	3
Компрессорное	PУТЕКТОР	14.04.2016 23:59:59	Розница	1 739 288,48	1 736 006,66	7	7
Насосное	PУТЕКТОР	14.04.2016 23:59:59	Розница	201 159,78	194 801,94	7	6
Насосное	Рутектор	14.04.2016 23:59:59	Розница	1 086 226,20	1 086 465,54	1	1
Подготовка поверхности	PУТЕКТОР	14.04.2016 23:59:59	Розница	208 365,73	208 365,73	7	7
Подготовка поверхности	Рутектор	14.04.2016 23:59:59	Розница	175 489,13	174 817,10	1	1
Сварочное	PУТЕКТОР	14.04.2016 23:59:59	Розница	505 015,13	505 106,07	3	3
Сварочное	Рутектор	14.04.2016 23:59:59	Розница	6 195,23	6 195,23	1	1
Строительное	PУТЕКТОР	14.04.2016 23:59:59	Розница	2 804,86	2 804,86	1	1
Химическое	PУТЕКТОР	14.04.2016 23:59:59	Розница	116 388,52	116 506,12	1	1
ЗЧ и РМ	PУТЕКТОР	15.04.2016 23:59:59	Дилер	194 710,49	50 571,74	7	3
Компрессорное	PУТЕКТОР	15.04.2016 23:59:59	Дилер	224 419,95	169 703,35	7	4
Насосное	PУТЕКТОР	15.04.2016 23:59:59	Дилер	2 279 123,52	1 017 566,06	14	12
Насосное	Рутектор	15.04.2016 23:59:59	Дилер	133 133,32	60 877,90	1	1
Подготовка поверхности	PУТЕКТОР	15.04.2016 23:59:59	Дилер	32 320,00	32 320,00	1	1
Сварочное	PУТЕКТОР	15.04.2016 23:59:59	Дилер	218 323,69	218 260,65	2	2
Дуговая сварка.	PУТЕКТОР	15.04.2016 23:59:59	Розница	210 323,64	210 323,64	1	1
ЗЧ и РМ	PУТЕКТОР	15.04.2016 23:59:59	Розница	1 271 007,79	705 353,19	22	17
Компрессорное	PУТЕКТОР	15.04.2016 23:59:59	Розница	304 098,71	286 561,06	6	4
Насосное	PУТЕКТОР	15.04.2016 23:59:59	Розница	355 736,12	342 836,78	7	6
Подготовка поверхности	PУТЕКТОР	15.04.2016 23:59:59	Розница	7 329,75	7 329,75	1	1
Сварочное	PУТЕКТОР	15.04.2016 23:59:59	Розница	1 711 394,90	1 688 323,91	6	6
Строительное	Рутектор	15.04.2016 23:59:59	Розница	263 446,91	265 372,01	1	1
Химическое	PУТЕКТОР	15.04.2016 23:59:59	Розница	154 653,05	91 327,71	2	1
Дуговая сварка.	PУТЕКТОР	18.04.2016 23:59:59	Дилер	8 307,82	8 286,19	2	2
ЗЧ и РМ	PУТЕКТОР	18.04.2016 23:59:59	Дилер	199 548,87	189 206,10	10	9
Компрессорное	PУТЕКТОР	18.04.2016 23:59:59	Дилер	48 600,00	48 600,00	1	1
Насосное	PУТЕКТОР	18.04.2016 23:59:59	Дилер	6 961 161,53	2 997 947,74	14	9
Подготовка поверхности	PУТЕКТОР	18.04.2016 23:59:59	Дилер	18 923,31		2	
Сварочное	PУТЕКТОР	18.04.2016 23:59:59	Дилер	131 924,65	45 838,27	4	3
Дуговая сварка.	Рутектор	18.04.2016 23:59:59	КПК	1 318 003,36	1 318 003,36	1	1
Насосное	Рутектор	18.04.2016 23:59:59	КПК	254 170,76	254 170,76	1	1
Дуговая сварка.	PУТЕКТОР	18.04.2016 23:59:59	Розница	368 832,69	8 764,40	2	1
ЗЧ и РМ	PУТЕКТОР	18.04.2016 23:59:59	Розница	253 575,95	142 687,17	19	14
ЗЧ и РМ	Рутектор	18.04.2016 23:59:59	Розница	35 430,00	35 430,00	2	2
Компрессорное	PУТЕКТОР	18.04.2016 23:59:59	Розница	1 206 614,72	1 202 513,68	6	6
Насосное	PУТЕКТОР	18.04.2016 23:59:59	Розница	1 340 416,83	847 709,76	11	7
Подготовка поверхности	PУТЕКТОР	18.04.2016 23:59:59	Розница	519 356,00	519 356,00	5	5
Сварочное	PУТЕКТОР	18.04.2016 23:59:59	Розница	735 174,29	716 636,51	4	4
Сварочное	Рутектор	18.04.2016 23:59:59	Розница	85 176,00	85 176,00	1	1
Химическое	PУТЕКТОР	18.04.2016 23:59:59	Розница	67 927,56	67 927,48	2	2
Дуговая сварка.	PУТЕКТОР	19.04.2016 23:59:59	Дилер	170 979,02	170 795,61	2	2
ЗЧ и РМ	PУТЕКТОР	19.04.2016 23:59:59	Дилер	150 091,05	69 244,74	9	4
Компрессорное	PУТЕКТОР	19.04.2016 23:59:59	Дилер	265 289,39	185 643,27	6	5
Насосное	PУТЕКТОР	19.04.2016 23:59:59	Дилер	841 476,80	451 836,53	15	11
Подготовка поверхности	PУТЕКТОР	19.04.2016 23:59:59	Дилер	26 140,00	26 140,00	2	2
Сварочное	PУТЕКТОР	19.04.2016 23:59:59	Дилер	214 413,89	203 937,67	1	1
Строительное	PУТЕКТОР	19.04.2016 23:59:59	Дилер	11 682,00	11 682,00	1	1
Химическое	PУТЕКТОР	19.04.2016 23:59:59	Дилер	224 710,39	217 173,33	2	2
Дуговая сварка.	Рутектор	19.04.2016 23:59:59	КПК	125 914,60	125 914,60	1	1
Автосервис	PУТЕКТОР	19.04.2016 23:59:59	Розница	8 799,00	8 799,00	2	2
Дуговая сварка.	PУТЕКТОР	19.04.2016 23:59:59	Розница	788 212,53	8 624,00	3	1
ЗЧ и РМ	PУТЕКТОР	19.04.2016 23:59:59	Розница	336 484,19	287 444,17	17	14
ЗЧ и РМ	Рутектор	19.04.2016 23:59:59	Розница	8 618,00	8 618,00	1	1
Компрессорное	PУТЕКТОР	19.04.2016 23:59:59	Розница	501 717,63	401 490,83	10	8
Металлообработка	PУТЕКТОР	19.04.2016 23:59:59	Розница	20 824,37	20 108,89	1	1
