
Параметры:	Период: 01.04.2016 - 27.08.2017
Отбор:	Направление В списке "Автосервис; АТП; Дуговая сварка.; ЗЧ и РМ; Компрессорное; Металлообработка; Насосное; НГО; Подготовка поверхности; Сварочное;..."
	
Направление	Заказ.Дата.Конец дня	Организация	Канал сбыта	Количество заказов	Сумма Руб.
Дуговая сварка.	01.04.2016 23:59:59	PУТЕКТОР	Розница	2	222 618,56
ЗЧ и РМ	01.04.2016 23:59:59	PУТЕКТОР	Дилер	11	304 806,24
ЗЧ и РМ	01.04.2016 23:59:59	PУТЕКТОР	Розница	23	426 866,52
Компрессорное	01.04.2016 23:59:59	PУТЕКТОР	Дилер	5	1 006 964,61
Компрессорное	01.04.2016 23:59:59	PУТЕКТОР	Розница	4	424 274,90
Металлообработка	01.04.2016 23:59:59	PУТЕКТОР	Розница	2	4 497 322,40
Насосное	01.04.2016 23:59:59	PУТЕКТОР	Дилер	14	836 494,14
Насосное	01.04.2016 23:59:59	PУТЕКТОР	Розница	6	836 170,70
Подготовка поверхности	01.04.2016 23:59:59	PУТЕКТОР	Дилер	1	34 491,24
Подготовка поверхности	01.04.2016 23:59:59	PУТЕКТОР	Розница	2	39 945,77
Сварочное	01.04.2016 23:59:59	PУТЕКТОР	Дилер	3	210 368,88
Сварочное	01.04.2016 23:59:59	PУТЕКТОР	Розница	2	22 442,15
Строительное	01.04.2016 23:59:59	PУТЕКТОР	Розница	3	87 128,84
Химическое	01.04.2016 23:59:59	PУТЕКТОР	Дилер	2	72 260,07
Химическое	01.04.2016 23:59:59	PУТЕКТОР	Розница	1	40 572,59
ЗЧ и РМ	01.04.2016 23:59:59	Рутектор	Розница	1	67 232,86
Насосное	01.04.2016 23:59:59	Рутектор	Розница	1	30 999,78
Строительное	01.04.2016 23:59:59	Рутектор	КПК	1	101 436,34
Химическое	01.04.2016 23:59:59	Рутектор	Дилер	1	209 223,44
Дуговая сварка.	04.04.2016 23:59:59	PУТЕКТОР	Розница	5	502 916,92
ЗЧ и РМ	04.04.2016 23:59:59	PУТЕКТОР	Дилер	14	475 264,57
ЗЧ и РМ	04.04.2016 23:59:59	PУТЕКТОР	Розница	16	328 439,20
Компрессорное	04.04.2016 23:59:59	PУТЕКТОР	Дилер	8	545 694,61
Компрессорное	04.04.2016 23:59:59	PУТЕКТОР	Розница	5	256 203,46
Насосное	04.04.2016 23:59:59	PУТЕКТОР	Дилер	6	1 051 909,29
Насосное	04.04.2016 23:59:59	PУТЕКТОР	Розница	5	1 125 325,77
Подготовка поверхности	04.04.2016 23:59:59	PУТЕКТОР	Розница	7	667 216,91
Сварочное	04.04.2016 23:59:59	PУТЕКТОР	Дилер	2	518 844,01
Сварочное	04.04.2016 23:59:59	PУТЕКТОР	Розница	5	525 500,62
Строительное	04.04.2016 23:59:59	PУТЕКТОР	Дилер	1	2 396,58
Химическое	04.04.2016 23:59:59	PУТЕКТОР	Дилер	3	298 657,95
Химическое	04.04.2016 23:59:59	PУТЕКТОР	Розница	2	66 079,57
ЗЧ и РМ	04.04.2016 23:59:59	Рутектор	Дилер	1	3 607,34
ЗЧ и РМ	04.04.2016 23:59:59	Рутектор	Розница	1	169 796,10
Насосное	04.04.2016 23:59:59	Рутектор	Дилер	1	63 940,02
Сварочное	04.04.2016 23:59:59	Рутектор	Дилер	2	23 705,03
Автосервис	05.04.2016 23:59:59	PУТЕКТОР	Розница	1	8 669,46
Дуговая сварка.	05.04.2016 23:59:59	PУТЕКТОР	Розница	1	226 051,42
ЗЧ и РМ	05.04.2016 23:59:59	PУТЕКТОР	Дилер	10	139 453,19
ЗЧ и РМ	05.04.2016 23:59:59	PУТЕКТОР	Розница	17	340 133,63
