
Параметры:	Период: 01.04.2016 - 27.08.2017
Отбор:	Направление В списке "Автосервис; АТП; Дуговая сварка.; ЗЧ и РМ; Компрессорное; Металлообработка; Насосное; Подготовка поверхности; Сварочное; Строительное;..."
	
Направление	Документ оплаты.Дата.Конец дня	Канал сбыта	Сумма Руб.	Сумма оплаты Руб.	Количество заказов
Автосервис	01.04.2016 23:59:59	Розница	208 598,04	208 598,04	2
Дуговая сварка.	01.04.2016 23:59:59	Дилер	46 798,80	1 398,80	1
Дуговая сварка.	01.04.2016 23:59:59	Розница	27 249,04	27 389,92	3
ЗЧ и РМ	01.04.2016 23:59:59	Дилер	287 680,27	353 106,09	11
ЗЧ и РМ	01.04.2016 23:59:59	Розница	276 532,42	277 322,40	11
Компрессорное	01.04.2016 23:59:59	Дилер	161 627,94	169 760,24	3
Компрессорное	01.04.2016 23:59:59	Розница	561 686,80	651 366,66	6
Насосное	01.04.2016 23:59:59	Дилер	239 930,51	325 238,57	7
Насосное	01.04.2016 23:59:59	Розница	2 483 632,06	608 984,19	12
Подготовка поверхности	01.04.2016 23:59:59	Дилер	32 371,15	35 773,71	2
Подготовка поверхности	01.04.2016 23:59:59	Розница	91 608,12	91 608,12	4
Сварочное	01.04.2016 23:59:59	Розница	380 994,97	382 631,00	2
Строительное	01.04.2016 23:59:59	Розница	44 663,00	44 663,00	4
Химическое	01.04.2016 23:59:59	Розница	496 844,52	427 197,37	3
ЗЧ и РМ	04.04.2016 23:59:59	Дилер	189 820,91	197 966,63	11
ЗЧ и РМ	04.04.2016 23:59:59	КПК	45 489,71	45 489,01	1
ЗЧ и РМ	04.04.2016 23:59:59	Розница	655 265,66	662 397,95	18
Компрессорное	04.04.2016 23:59:59	Дилер	386 844,22	386 844,22	3
Компрессорное	04.04.2016 23:59:59	Розница	722 795,41	753 293,65	7
Насосное	04.04.2016 23:59:59	Дилер	943 006,20	987 826,78	15
Насосное	04.04.2016 23:59:59	КПК	970 252,76	970 252,44	1
Насосное	04.04.2016 23:59:59	Розница	320 875,82	320 875,82	7
НГО	04.04.2016 23:59:59	КПК	39 543,72	44 887,79	1
Подготовка поверхности	04.04.2016 23:59:59	Дилер		3 336,78	1
Подготовка поверхности	04.04.2016 23:59:59	Розница	23 203,96	23 203,96	2
Сварочное	04.04.2016 23:59:59	Дилер	23 028,71	25 251,90	2
Сварочное	04.04.2016 23:59:59	Розница	190 865,00	190 865,00	2
Строительное	04.04.2016 23:59:59	Дилер	2 396,58	2 396,58	1
Строительное	04.04.2016 23:59:59	Розница	72 749,36	72 749,36	1
Химическое	04.04.2016 23:59:59	Дилер	223 287,99	224 505,81	2
Химическое	04.04.2016 23:59:59	Розница	32 569,18	35 712,62	1
Дуговая сварка.	05.04.2016 23:59:59	Розница	31 614,00	31 613,96	2
ЗЧ и РМ	05.04.2016 23:59:59	Дилер	87 693,78	105 895,10	8
ЗЧ и РМ	05.04.2016 23:59:59	Розница	960 894,07	446 037,06	19
Компрессорное	05.04.2016 23:59:59	Дилер	57 748,40	60 240,10	3
Компрессорное	05.04.2016 23:59:59	Розница	458 098,14	460 391,99	9
Металлообработка	05.04.2016 23:59:59	Розница	8 657 142,86	3 030 000,00	1
Насосное	05.04.2016 23:59:59	Дилер	290 814,26	319 404,17	6
Насосное	05.04.2016 23:59:59	Розница	647 599,44	677 851,30	7
Подготовка поверхности	05.04.2016 23:59:59	Розница	86 234,49	86 234,49	2
Сварочное	05.04.2016 23:59:59	Дилер	7 425,48	7 865,06	2
